ball_x,ball_y,ball_vel_x,ball_vel_y,paddle_left_y,paddle_right_y,human_action
700,277,-8,8,255,173,UP
692,285,-8,8,262,166,UP
684,293,-8,8,269,159,UP
676,301,-8,8,276,152,STAY
668,309,-8,8,283,152,STAY
660,317,-8,8,290,152,STAY
652,325,-8,8,297,152,STAY
644,333,-8,8,304,152,STAY
636,341,-8,8,311,152,STAY
628,349,-8,8,318,152,STAY
620,357,-8,8,325,152,STAY
612,365,-8,8,332,152,STAY
604,373,-8,8,339,152,STAY
596,381,-8,8,346,152,STAY
588,389,-8,8,353,152,STAY
580,397,-8,8,360,152,STAY
572,405,-8,8,367,152,STAY
564,413,-8,8,374,152,DOWN
556,421,-8,8,381,159,DOWN
548,429,-8,8,388,166,DOWN
540,437,-8,8,395,173,DOWN
532,445,-8,8,402,180,DOWN
524,453,-8,8,409,187,DOWN
516,461,-8,8,416,194,DOWN
508,469,-8,8,423,201,DOWN
500,477,-8,8,430,208,DOWN
492,485,-8,8,437,215,DOWN
484,493,-8,8,444,222,DOWN
476,501,-8,8,451,229,DOWN
468,509,-8,8,458,236,DOWN
460,517,-8,8,465,243,DOWN
452,525,-8,8,472,250,DOWN
444,533,-8,8,479,257,DOWN
436,541,-8,8,486,264,DOWN
428,549,-8,8,493,271,STAY
420,557,-8,8,500,271,STAY
412,565,-8,8,500,271,STAY
404,573,-8,8,500,271,STAY
396,581,-8,8,500,271,STAY
388,589,-8,-8,500,271,STAY
380,581,-8,-8,500,271,STAY
372,573,-8,-8,500,271,STAY
364,565,-8,-8,500,271,STAY
356,557,-8,-8,500,271,STAY
348,549,-8,-8,500,271,STAY
340,541,-8,-8,500,271,STAY
332,533,-8,-8,500,271,STAY
324,525,-8,-8,500,271,STAY
316,517,-8,-8,500,271,STAY
308,509,-8,-8,500,271,UP
300,501,-8,-8,500,264,UP
292,493,-8,-8,500,257,UP
284,485,-8,-8,500,250,UP
276,477,-8,-8,500,243,UP
268,469,-8,-8,500,236,UP
260,461,-8,-8,500,229,UP
252,453,-8,-8,500,222,UP
244,445,-8,-8,500,215,STAY
236,437,-8,-8,500,215,STAY
228,429,-8,-8,500,215,STAY
220,421,-8,-8,500,215,STAY
212,413,-8,-8,500,215,STAY
204,405,-8,-8,500,215,STAY
196,397,-8,-8,500,215,STAY
188,389,-8,-8,500,215,STAY
180,381,-8,-8,500,215,STAY
172,373,-8,-8,500,215,STAY
164,365,-8,-8,500,215,STAY
156,357,-8,-8,500,215,STAY
148,349,-8,-8,500,215,STAY
140,341,-8,-8,500,215,STAY
132,333,-8,-8,500,215,STAY
124,325,-8,-8,500,215,STAY
116,317,-8,-8,500,215,STAY
108,309,-8,-8,500,215,STAY
100,301,-8,-8,500,215,STAY
92,293,-8,-8,493,215,UP
84,285,-8,-8,486,208,UP
76,277,-8,-8,479,201,UP
68,269,-8,-8,472,194,UP
60,261,-8,-8,465,187,UP
52,253,-8,-8,458,180,UP
44,245,-8,-8,451,173,UP
36,237,-8,-8,444,166,UP
28,229,-8,-8,437,159,STAY
20,221,-8,-8,430,159,STAY
12,213,-8,-8,423,159,STAY
4,205,-8,-8,416,159,STAY
393,293,-8,-8,409,159,STAY
385,285,-8,-8,416,159,STAY
377,277,-8,-8,423,159,STAY
369,269,-8,-8,430,159,STAY
361,261,-8,-8,437,159,STAY
353,253,-8,-8,444,159,STAY
345,245,-8,-8,437,159,STAY
337,237,-8,-8,430,159,STAY
329,229,-8,-8,423,159,STAY
321,221,-8,-8,416,159,STAY
313,213,-8,-8,409,159,STAY
305,205,-8,-8,402,159,DOWN
297,197,-8,-8,395,166,DOWN
289,189,-8,-8,388,173,DOWN
281,181,-8,-8,381,180,DOWN
273,173,-8,-8,374,187,DOWN
265,165,-8,-8,367,194,DOWN
257,157,-8,-8,360,201,DOWN
249,149,-8,-8,353,208,DOWN
241,141,-8,-8,346,215,DOWN
233,133,-8,-8,339,222,DOWN
225,125,-8,-8,332,229,STAY
217,117,-8,-8,325,229,STAY
209,109,-8,-8,318,229,STAY
201,101,-8,-8,311,229,STAY
193,93,-8,-8,304,229,STAY
